username,blitz_last_rating,blitz_last_rd,blitz_best_rating,blitz_wins,blitz_losses,blitz_draws,blitz_total_games,blitz_win_rate,blitz_draw_rate
7chessace,2767,35,2787,155,84,21,260,0.5961538461538461,0.08076923076923077
a-fier,2952,37,2978,2361,1629,501,4491,0.5257181028724115,0.11155644622578491
aa175,2920,38,3184,6171,5852,1038,13061,0.4724753081693592,0.07947324094632877
aamuktha-guntaka,2517,41,2642,56,79,12,147,0.38095238095238093,0.08163265306122448
aaravdenglaofficial,2813,44,2897,496,422,101,1019,0.4867517173699706,0.09911678115799803
ach19,2317,29,2561,10052,9529,1038,20619,0.4875115185023522,0.05034191764877055
acidshazz,2387,37,2534,5289,5687,973,11949,0.44263118252573436,0.08142940831868775
actuary44,2546,43,2660,677,756,121,1554,0.43564993564993565,0.07786357786357787
ad0406,2411,44,2491,1665,1668,230,3563,0.4673028346898681,0.06455234353073253
adrian-thorsen,2449,38,2508,4595,4401,529,9525,0.48241469816272964,0.05553805774278215
advik1b,2862,30,2862,360,217,75,652,0.5521472392638037,0.11503067484662577
agibileg,2770,45,2999,3463,3256,551,7270,0.4763411279229711,0.07579092159559835
aguiar94,2810,21,2895,12374,12094,1390,25858,0.478536623095367,0.053755124139531284
agustinwyatt,2515,23,2639,10974,10428,1406,22808,0.48114696597685025,0.061645036829182744
ahmed_naser1,1963,42,2044,229,198,13,440,0.5204545454545455,0.029545454545454545
aifosilianorkuhs2006,3077,42,3222,1661,1374,378,3413,0.48666861998242017,0.11075300322297099
ajedrezart-m-auro,2470,39,2561,217,148,21,386,0.5621761658031088,0.054404145077720206
akewjon,2808,46,2922,2302,801,260,3363,0.6845078798691644,0.07731192387749034
albadelomass,2476,33,2480,825,789,159,1773,0.4653130287648054,0.08967851099830795
aldareee,2668,44,2771,1180,1066,158,2404,0.4908485856905158,0.06572379367720466
alejandro2006lara,2567,32,2774,286,272,63,621,0.4605475040257649,0.10144927536231885
alen_chessmate,2922,35,2978,818,500,127,1445,0.5660899653979239,0.08788927335640138
alenzer,2226,46,2285,787,1298,135,2220,0.3545045045045045,0.060810810810810814
alex_banzea,2479,38,2764,6845,5984,1057,13886,0.4929425320466657,0.07611983292524845
alexander_donchenko,2919,47,3035,3288,1657,627,5572,0.5900933237616655,0.11252692031586504
alexboy14,2905,37,2912,1510,891,243,2644,0.5711043872919819,0.09190620272314674
alexei_gubajdullin,2670,41,2831,1833,1478,299,3610,0.5077562326869806,0.08282548476454293
alexlongson,2568,46,2573,130,76,7,213,0.6103286384976526,0.03286384976525822
alexpapasimakopoulos,2889,30,3032,3349,2311,659,6319,0.5299889222978319,0.10428865326792214
alexrustemov,2943,18,3088,25345,22383,7680,55408,0.4574249205890846,0.13860814322841467
aljoschafeuerstack,2806,45,2806,480,313,54,847,0.5667060212514758,0.06375442739079103
allblacksgoat,2732,26,2870,945,822,216,1983,0.47655068078668683,0.10892586989409984
allcer7,2881,44,2924,1123,1040,227,2390,0.4698744769874477,0.09497907949790795
allespatzer,2518,44,2613,137,169,10,316,0.43354430379746833,0.03164556962025317
almasrakhmatullaev,2978,39,3106,1382,1110,246,2738,0.5047479912344777,0.08984660336011688
aloe_normansen,2689,48,2715,405,323,71,799,0.5068836045056321,0.08886107634543179
alomaterapia,2713,45,2721,371,269,69,709,0.5232722143864598,0.09732016925246827
aminazinas,2693,28,2772,6754,5759,1342,13855,0.4874774449657163,0.09686033922771563
amintabatabaei,3147,37,3245,6434,5790,1596,13820,0.4655571635311143,0.1154848046309696
ananya2898,2469,41,2575,25,44,10,79,0.31645569620253167,0.12658227848101267
anasta10,2770,34,2832,2280,1695,531,4506,0.5059920106524634,0.11784287616511319
andreikka,3141,45,3219,2244,1388,473,4105,0.5466504263093788,0.11522533495736906
andrew-blr,2674,27,2785,3583,3563,747,7893,0.4539465349043456,0.09464082098061574
andrey-ivanov2011,2444,65,2498,287,285,35,607,0.4728171334431631,0.057660626029654036
andriidiachek,2744,44,2744,101,64,12,177,0.5706214689265536,0.06779661016949153
andrzej,2488,44,2554,2372,2048,387,4807,0.4934470563761182,0.08050759309340545
angamat,2405,28,2476,359,410,53,822,0.4367396593673966,0.06447688564476886
angry_twin,3113,29,3124,4332,2929,873,8134,0.5325792967789525,0.10732726825670028
annacramling,2382,31,2410,5143,5582,679,11404,0.4509821115398106,0.059540512101017184
ant_chess_2019,2817,47,2826,571,314,63,948,0.6023206751054853,0.06645569620253164
anton_demchenko,2967,21,3124,8035,5875,1804,15714,0.5113274786814306,0.11480208731067838
antoni_radzimski,2804,32,2915,1236,1112,244,2592,0.47685185185185186,0.0941358024691358
apollonzerotv,2686,40,2784,1369,1047,161,2577,0.5312378734963136,0.06247574699262708
aquarium76,3031,43,3105,280,151,55,486,0.5761316872427984,0.11316872427983539
argentino1,2382,60,2549,3545,3588,668,7801,0.4544289193693116,0.0856300474298167
argodeajedrez,2567,31,2711,4212,3810,542,8564,0.49182624941616065,0.06328818309201308
arlan_mirzhanov,2505,45,2556,64,95,19,178,0.3595505617977528,0.10674157303370786
arseny-kleschevnikov,2404,64,2458,8,14,0,22,0.36363636363636365,0.0
artemdyachuk,2834,43,3140,3907,3725,454,8086,0.4831808063319317,0.056146425921345534
artin10862,3096,24,3220,5160,4978,726,10864,0.47496318114874814,0.06682621502209131
artooon,3183,40,3225,2435,2357,582,5374,0.45310755489393373,0.10829921845924823
aryan_tamadon,2696,49,2792,1611,1316,157,3084,0.5223735408560312,0.05090791180285344
ascender21,2952,31,3015,1590,1196,256,3042,0.5226824457593688,0.084155161078238
aslanov_umid,2870,30,2909,4456,5102,905,10463,0.4258816782949441,0.08649526904329542
asvz,2584,28,2778,5578,5146,947,11671,0.4779367663439294,0.08114129037785965
averagefm,2758,46,2845,271,197,33,501,0.5409181636726547,0.0658682634730539
aygehovit1992,2911,23,2991,3717,3222,701,7640,0.48651832460732986,0.09175392670157068
b_griffin,2409,32,2465,5045,4470,419,9934,0.5078518220253674,0.042178377290114755
b_nn_t,2658,32,2715,1561,1805,497,3863,0.40409008542583486,0.12865648459746312
babadexiaobao,2561,46,2590,109,80,16,205,0.5317073170731708,0.07804878048780488
banane_verte,2744,30,2757,4901,3430,894,9225,0.5312737127371274,0.09691056910569106
bapttoche,2545,35,2658,953,936,130,2019,0.4720158494304111,0.06438831104507181
baratheont,2521,30,2647,822,842,104,1768,0.4649321266968326,0.058823529411764705
barriochess,2438,49,2609,1308,1111,215,2634,0.49658314350797267,0.08162490508731966
bashirlisaadat,2518,49,2518,415,597,94,1106,0.3752260397830018,0.08499095840867993
battery_chess,2417,45,2534,144,184,20,348,0.41379310344827586,0.05747126436781609
bazar-wokzal,2696,30,2794,4750,4039,865,9654,0.492024031489538,0.08960016573441061
beawuids,2700,34,2857,3890,3330,540,7760,0.5012886597938144,0.06958762886597938
beca95,3086,31,3126,5370,3104,1055,9529,0.5635428691363207,0.11071466051002204
beltraxtor,2807,45,3017,1034,764,205,2003,0.5162256615077384,0.10234648027958063
bencus12,2751,29,2813,1221,1055,173,2449,0.4985708452429563,0.07064107799101674
bescmelasti,2701,41,2808,572,509,116,1197,0.4778613199665831,0.09690893901420217
billys2010,2801,36,2925,537,340,99,976,0.5502049180327869,0.1014344262295082
blitz_lover1,2718,38,2807,370,393,78,841,0.4399524375743163,0.09274673008323424
bogdandeac,3178,31,3240,8497,4680,2504,15681,0.5418659524265034,0.15968369364198712
bojosi,2319,49,2357,4907,5436,567,10910,0.44977085242896425,0.051970669110907426
boliviar,2450,36,2567,4390,4543,552,9485,0.4628360569319979,0.05819715340010543
bonantagulo,2482,43,2552,1029,774,139,1942,0.5298661174047374,0.07157569515962925
borasavran35,2629,38,2735,122,140,15,277,0.4404332129963899,0.05415162454873646
boris_plotnikov,2691,27,2848,2162,1838,207,4207,0.5139053957689566,0.04920370810553839
boundless_strike,2900,28,2963,4775,4048,788,9611,0.4968265529081261,0.08198938716054521
boutikaki,2622,34,2676,255,303,27,585,0.4358974358974359,0.046153846153846156
briesmas,2629,46,2710,433,461,59,953,0.45435466946484787,0.06190975865687303
brilliant_move_11,2542,45,2564,191,162,18,371,0.5148247978436657,0.04851752021563342
bsnsun,2715,45,2732,448,393,78,919,0.48748639825897716,0.08487486398258977
bulgakdamir,2826,39,2858,486,390,42,918,0.5294117647058824,0.0457516339869281
bulletteemo,2739,38,2817,551,394,71,1016,0.5423228346456693,0.06988188976377953
bullycloud,2706,34,2889,2304,2277,455,5036,0.45750595710881653,0.0903494837172359
byniolus,2988,29,3049,6753,3437,1049,11239,0.600854168520331,0.09333570602366759
cabezauro,2356,37,2527,542,578,60,1180,0.45932203389830506,0.05084745762711865
caroexpert,2906,17,3044,5010,5023,684,10717,0.46748157133526175,0.06382383129607166
cartonmaster,2587,33,2722,999,1144,149,2292,0.43586387434554974,0.0650087260034904
casper,2798,28,2885,1303,1204,183,2690,0.48438661710037173,0.06802973977695168
cayse,3014,34,3083,1998,1049,307,3354,0.5957066189624329,0.0915324985092427
ccccvhhhj,2605,33,2637,2587,2266,265,5118,0.5054708870652599,0.05177803829620946
celinetheslime2026,2208,34,2256,458,297,31,786,0.5826972010178118,0.039440203562340966
ceraadagaria,2080,94,2382,4,33,3,40,0.1,0.075
chaineddowntohell,2685,46,2695,268,242,27,537,0.49906890130353815,0.05027932960893855
cheer_down,2602,22,2686,10955,13227,2784,26966,0.4062523177334421,0.10324111844544982
cheessmasteer54,2386,48,2386,32,58,7,97,0.32989690721649484,0.07216494845360824
cherneevo_23,2554,48,2573,342,173,104,619,0.5525040387722132,0.1680129240710824
chesniu,2919,44,2985,808,477,119,1404,0.5754985754985755,0.08475783475783476
chessbaerchen,2698,46,2781,285,196,36,517,0.5512572533849129,0.06963249516441006
chessbard1972,2411,19,2570,7668,9750,1107,18525,0.41392712550607286,0.05975708502024291
chessdevotee26,2352,64,2505,28,97,8,133,0.21052631578947367,0.06015037593984962
chessfighter_2011,3183,29,3190,2583,1832,432,4847,0.532906952754281,0.08912729523416546
chessgirl_leyla,2327,41,2351,92,179,10,281,0.3274021352313167,0.03558718861209965
chesskhan11,2833,30,3040,2005,1761,389,4155,0.4825511432009627,0.09362214199759326
